11年 6月11日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 6月11日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 4R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  ダ1600m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝2000m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,稲村ヶ崎特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｅナムラエメラルド, 63,横山典,, 63,   0,*  1, 2,  7.1, ⑫⑪, 1, 4,Ｇイッツスパｰブ, 56,吉田豊,, 67,  10, -17, 5, 15.8,⑦⑦⑤, 1, 3,Ｄトレジャｰチェスト, 70,北村宏,, 71,*  7,*  1, 9, 23.6, ②②, 1, 1,Ｂメイショウジンム, 84,安藤勝,, 83,* -3,  16, 2,  3.6,②②②
 2, 8,Ｂハｰドボイルド, 68,石神深, 0.1, 63,   5,  -5, 3,  9.3, ⑨⑧, 2,11,Ｂエｰブフウジン, 69,蛯名正, 0.0, 69,   9,*-14, 1,  3.1,⑥⑥⑦, 2, 9,Ａライラックパンチ, 74,横山典, 0.1, 70,*  7,   1, 1,  2.6, ③③, 2, 9,Ｇメジロスプレンダｰ, 75,蛯名正, 0.0, 84,  -5,* 17, 8, 19.9,④③③
 3, 5,Ａエフティシュタルク, 74,蛯名正, 0.1, 63,   5,  -7, 1,  1.4, ⑥⑥, 3, 1,Ａヒカルウインド, 70,横山典, 0.0, 67,   7,*-13, 4,  4.9,⑩⑨⑧, 3,10,Ｃディミｰタ, 71,蛯名正, 0.3, 70,   6,*  2, 2,  5.0, ⑥⑧, 3, 7,Ｄベストアンサｰ, 78,横山典, 0.4, 81,  -8,* 18, 6, 17.3,⑧⑧⑨
 4, 3,Ｃキザ, 66,北村宏, 0.2, 63,   4,  -5, 5, 15.2, ⑧⑨, 4,14,Ｅマイネロｰレライ, 63,松岡正, 0.3, 65,* 13, -29, 3,  4.6,⑤②②, 4, 2,Ｂチャレンジフラッグ, 72,後藤浩, 0.3, 68,   5,*  1, 3,  6.5, ⑧⑤, 4, 2,Ｅベルタリド, 77,江田照, 0.6, 76,  -5,  10,10, 65.0,③④④
 5, 9,Ｊビリｰヴマイン, 53,松岡正, 0.5, 59,  -3,*  2, 7, 34.2, ⑬⑬, 5, 8, サトノナイト,---,石橋脩, 0.4, 65,   5,*-13, 2,  4.5,⑮⑭⑫, 5, 7,Ｉレッドプラネット, 65,武士沢, 0.7, 64,*  9,  -7, 4,  6.7, ①①, 5, 6,Ａサブコンシャス, 84,後藤浩, 0.8, 76,  -8,  12, 4,  6.0,⑪⑪⑩
 6, 7,Ｄトウショウジャック, 63,吉田豊, 0.6, 60,*  9, -15, 4, 10.5, ③③, 6, 6,Ｈサンデンマックス, 55,嶋田純, 0.6, 61,  10, -26,11, 61.5,③⑤④, 6, 4,Ｇマドモアゼルノン, 65,柴田大, 0.9, 65,   6,  -4,11,103.8, ⑤⑥, 6, 4,Ｃガンズオブナバロン, 82,北村宏, 0.9, 73,  -7,   7, 1,  3.1,⑤⑥⑤
 7, 6,Ｈソレイユレディｰ, 57,石橋脩, 1.1, 55,   1,  -9,11,177.1, ⑪⑩, 7, 9,Ｄラシアンウッズ, 64,後藤浩, 0.7, 61,   5, -17, 8, 23.6,⑭⑮⑬, 7, 5,Ｋリズモア, 62,三浦皇, 1.0, 66,   3,   1, 5,  9.3, ⑫⑫, 7, 5,Ｊトモロマイスタｰ, 69,武士沢, 1.1, 72,  -5,   3, 5,  9.3,⑥⑤⑥
 8, 2,Ｉタツサイゴン, 57,熊沢重, 1.2, 57,   7, -18, 8, 72.0, ④④, 8, 7,Ｆスウェｰジｰ, 59,北村宏, 1.1, 57,   6, -24, 9, 49.3,⑪⑪⑪, 8,11,Ｌモエレポｰルスタｰ, 59,嶋田純, 1.2, 62,   6,  -8,12,311.5, ④④, 8,11,Ｉタイセイダンサｰ, 70,三浦皇, 1.2, 72,  -6,   4, 7, 19.7,⑨⑨⑧
 9, 1,Ｌエムオｰテｰスト, 48,柴田善, 2.0, 50,* 10, -29, 9, 85.8, ②②, 9,10,Ｃオｰロラスクリｰン, 64,大野拓, 1.8, 52,  10, -43, 6, 17.1,④④⑥, 9, 6,Ｊルペルカリア, 64,松岡正, 1.3, 62,   4,  -5, 6, 13.4, ⑨⑩, 9, 3,Ｆケｰジｰカチボシ, 77,吉田豊, 1.2, 69,  -7,   4, 9, 37.0,⑦⑦⑦
10,10,Ｆダノンスプリｰム, 62,田中勝, 2.1, 49,   6, -24, 6, 19.1, ⑦⑦,10, 2,Ｋマリブビｰチ, 46,三浦皇, 2.3, 48,* 11, -53,10, 54.6,①③③,10,12,Ｅヤマノトップラン, 70,田中勝, 1.3, 63,   3,  -2, 7, 18.1, ⑬⑬,10, 8,Ｋミウラリチャｰド, 60,大庭和, 2.2, 59,  -8,  -6,11,301.5,⑩⑩⑪
11,12,Ｍヒダノエリｰ, 45,横山和, 2.2, 46,   0, -18,13,514.4, ⑩⑫,11, 3,Ｌサファリトップガン, 46,小林淳, 2.4, 44,   3, -38,14,415.9,⑬⑬⑮,11,13,Ｈミエノグレｰス, 65,石橋脩, 1.4, 60,   5,  -8,10, 29.3, ⑦⑦,11,10,Ｈマイネルレイン, 74,松岡正, 2.6, 51,* -4, -23, 3,  5.7,①①①
12, 4,Ｇニシノエックス, 58,江田照, 2.2, 47,   7, -26,10,168.2, ⑤⑤,12,12,Ｉゴｰルドアグライア, 53,柴田善, 2.4, 46,   7, -46, 7, 18.2,⑧⑩⑩,12, 1,Ｆオンザスロｰン, 68,吉田豊, 1.5, 60,   4,  -5, 8, 20.8, ⑪⑨,,,,,,,,,,,,
13,13,Ｋエアクイゾン, 49,武士沢, 2.5, 45,* 10, -34,12,237.3, ①①,13, 5,Ｊウインロザリｰ, 47,田中勝, 2.5, 46,   8, -48,12, 93.6,⑨⑧⑨,13, 8,Ｍトウカイカラｰ, 56,横山義, 1.6, 61,   4,  -6,13,449.1, ⑩⑪,,,,,,,,,,,,
,,,,,,,,,,,,14,13,Ｎロｰズベリｰ, 40,横山和, 2.9, 45,* 13, -65,13,319.0,②①①,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,15,Ｍレピドライト, 41,熊沢重, 3.2, 42,   5, -51,15,474.3,⑫⑫⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-13 馬場:重(指数:7),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:重(指数:7),,,,,,,,,,,
"単勝:710円 複勝:11=150円 08=160円 05=110円 枠連:1,440円",,,,,,,,,,,,"単勝:1,580円 複勝:04=330円 11=150円 01=150円 枠連:1,630円",,,,,,,,,,,,"単勝:2,360円 複勝:03=470円 09=140円 10=190円 枠連:2,670円",,,,,,,,,,,,"単勝:360円 複勝:01=180円 09=440円 07=480円 枠連:3,830円",,,,,,,,,,,
"馬連:2,930円 ワイド:08-11=500円 05-11=210円 05-08=220円",,,,,,,,,,,,"馬連:2,370円 ワイド:04-11=740円 01-04=850円 01-11=300円",,,,,,,,,,,,"馬連:2,620円 ワイド:03-09=810円 03-10=1,630円 09-10=390円",,,,,,,,,,,,"馬連:3,910円 ワイド:01-09=1,220円 01-07=1,240円 07-09=2,840円",,,,,,,,,,,
"馬単:5,070円 3連複:840円 3連単:10,600円",,,,,,,,,,,,"馬単:5,380円 3連複:2,720円 3連単:24,830円",,,,,,,,,,,,"馬単:7,340円 3連複:5,680円 3連単:52,910円",,,,,,,,,,,,"馬単:5,450円 3連複:14,760円 3連単:72,540円",,,,,,,,,,,
■ 2R  ダ1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 5R  ダ1400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 8R  芝3300m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  ダ1600m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,東京ｼﾞｬﾝﾌﾟｽﾃｰｸｽ,,,,,,,,,,,,ｵｱｼｽｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｂロジッツェル, 66,横山典,, 65,  -2,*  5, 2,  3.8, ④⑤, 1,13,Ａトキノエクセレント, 75,三浦皇,, 77,  10,*  2, 1,  1.7, ⑥⑤, 1, 2, マジェスティバイオ,,柴田大,,,,, 8, 36.4,⑦⑤④, 1, 7,Ｄナムラタイタン, 92,熊沢重,, 93,  14,* 11, 4,  9.0, ⑥⑥
 2,11,Ｃワンダｰスピンドル, 66,後藤浩, 0.2, 63,*  0,   0, 3,  4.7, ②②, 2,11,Ｃエイコオウイング, 72,柴田善, 0.2, 73,   7,*  2, 3,  6.8, ⑪⑧, 2,13, マサノブルｰス,,佐久間,221.1,,,,12, 97.2,③②②, 2, 3,Ｇシャア, 91,小坂忠, 0.1, 90,  15,*  9, 3,  8.8, ⑤⑤
 3, 4,Ｆタカノオｰカン, 62,柴原央, 0.2, 64,*  1,   0, 7, 20.1, ①①, 3, 9,Ｅリｰサムダイチ, 70,北村宏, 0.5, 71,   8,   0, 4, 12.1, ⑩⑩, 3, 4, ビｰアウェイク,,高野和,221.2,,,, 9, 56.8,⑪⑨⑥, 3, 8,Ａバｰディバｰディ, 97,松岡正, 0.1, 90,  14,* 12, 1,  2.5, ⑨⑧
 4, 6,Ａタングルジャングル, 69,蛯名正, 0.3, 64,  -2,*  3, 1,  3.1, ⑤④, 4, 4,Ｄコアヨカ, 70,後藤浩, 0.6, 69,   5,*  3, 7, 22.7, ⑮⑭, 4, 1, タイカｰリアン,,北沢伸,221.4,,,, 2,  8.2,④③③, 4, 6,Ｆタイセイレジェンド, 91,石橋脩, 0.2, 87,* 16,   6, 2,  4.0, ③③
 5, 5,Ｉシルクオフィサｰ, 52,北村宏, 0.4, 63,  -3,*  3, 4,  6.2, ⑦⑥, 5,12,Ｊフラワｰロック, 67,柴山雄, 0.9, 67,   7,  -3, 5, 20.2, ⑧⑨, 5, 5, タカラボス,,大庭和,222.0,,,,13,101.7,⑨⑧⑧, 5,15,Ｈピサノエミレｰツ, 90,横山典, 0.8, 84,* 16,   2, 7, 13.8, ④④
 6,10, ヤマチョウフェア,---,嶋田純, 0.4, 63,  -3,*  3,11, 97.1, ⑥⑦, 6, 6,Ｈマルタカシクレノン, 68,大庭和, 1.0, 67,   7,  -5, 6, 21.2, ⑤⑦, 6,14, ランヘランバ,,五十嵐,222.1,,,, 1,  1.5,①①①, 6,14,Ｃピイラニハイウェイ, 93,後藤浩, 0.8, 84,  14,   6, 9, 36.0, ⑪⑩
 7, 9,Ｈレノヴァティオトラ, 57,江田照, 1.2, 58,  -3,  -2, 8, 54.7, ⑩⑪, 7, 3,Ｏコスモオウガイ, 63,柴田大, 1.1, 65,   5,  -2,16,191.5, ⑬⑫, 7, 3, トｰセンジョｰカｰ,,横山義,223.6,,,, 5, 16.3,⑤⑦⑦, 7,12,Ｂオｰロマイスタｰ, 93,吉田豊, 1.1, 81,  13,   4, 5,  9.8, ⑩⑪
 8, 8,Ｇシャンドゥリエ, 58,横山和, 1.4, 57,  -2,  -4, 9, 57.2, ⑪⑨, 8, 7,Ｌトｰセンレラ, 65,田中勝, 1.7, 63,* 13, -18, 9, 40.5, ①①, 8, 6, トキノナスティア,,浜野谷,223.7,,,, 4, 12.1,②④⑤, 8, 4,Ｍプロセッション, 86,大野拓, 1.1, 81,  13,   5,12, 79.6, ⑫⑫
 9, 2,Ｅコウヨウメビウス, 64,大野拓, 1.7, 51,*  0, -12,10, 75.1, ③③, 9, 1,Ｍマイネルパルフェ, 65,大野拓, 1.8, 59,   4,  -7,10, 45.3, ⑫⑬, 9,10, ハクサン,,石神深,225.7,,,,10, 69.5,⑬⑫⑪, 9,10,Ｊクリｰン, 88,柴田善, 1.5, 79,  11,   2,13,180.4, ⑬⑬
10, 3,Ｊレッドグランディス, 50,安藤勝, 1.9, 53,  -5,  -5, 5,  9.3, ⑬⑬,10, 8,Ｆスマイルダンサｰ, 68,嶋田純, 1.9, 60,  10, -16,14, 95.3, ③③,10, 7, ヒカリアライブ,,黒岩悠,226.2,,,, 3,  9.0,⑩⑥⑨,10, 5,Ｅタマモクリエイト, 91,大庭和, 1.5, 79,  13,  -1, 6, 12.9, ⑧⑦
11, 7,Ｄオリジン, 64,三浦皇, 2.9, 45,  -3, -18, 6, 13.9, ⑨⑧,11,15,Ｎプライドワン, 64,柴原央, 2.0, 59,   8, -15,12, 70.5, ⑦⑥,11, 8, アドマイヤサンサン,,林満明,228.4,,,,14,105.1,⑥⑩⑩,11,16,Ｌオウロプレット, 87,北村宏, 1.6, 78,* 17,  -7,11, 49.4, ②②
12, 1, スタンドアップ,---,小林淳, 3.3, 43,  -5, -17,12,255.3, ⑫⑫,12, 2,Ｉトｰアクリスタル, 67,江田照, 2.1, 57,   4, -11,13, 85.1, ⑨⑪,12,12, バトルブリンディス,,高田潤,233.9,,,, 7, 28.8,⑭⑬⑬,12, 2,Ｉメンデル, 90,三浦皇, 1.7, 79,   9,   5,10, 42.8, ⑭⑭
13,12,Ｋアシヤミユキ, 30,菅原隆, 6.0, 24,  -4, -44,13,497.6, ⑧⑩,13,16,Ｐツクババレｰ, 56,武士沢, 2.5, 53,  -1,  -7,15,103.8, ⑯⑯,,,,,,,,,,,,,13,13,Ｎピｰスオブパワｰ, 84,田中勝, 2.1, 75,  14,  -7, 8, 26.6, ⑦⑨
,,,,,,,,,,,,14,10,Ｂホリデイトウショウ, 72,横山和, 2.9, 53,* 13, -28, 8, 37.5, ②②,,,,,,,,,,,,,14, 9,Ｐトｰセンキャプテン, 78,江田照, 2.4, 74,   3,*  9,14,196.4, ⑮⑮
,,,,,,,,,,,,15, 5,Ｇスラストライン, 68,松岡正, 3.0, 50,   2, -15, 2,  6.3, ⑭⑮,,,,,,,,,,,,,15, 1,Ｏワｰルドハンタｰ, 84,柴山雄, 2.9, 67,* 17, -19,15,305.5, ①①
,,,,,,,,,,,,16,14,Ｋホワイトアッシュ, 66,蛯名正, 3.2, 50,  10, -27,11, 68.3, ④④,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:重(指数:-5),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:重(指数:-5),,,,,,,,,,,
単勝:380円 複勝:13=170円 11=160円 04=420円 枠連:620円,,,,,,,,,,,,単勝:170円 複勝:13=110円 11=190円 09=220円 枠連:370円,,,,,,,,,,,,"単勝:3,640円 複勝:02=1,110円 13=1,780円 04=1,630円 枠連:2,170円",,,,,,,,,,,,単勝:900円 複勝:07=240円 03=220円 08=140円 枠連:900円,,,,,,,,,,,
"馬連:670円 ワイド:11-13=310円 04-13=940円 04-11=1,040円",,,,,,,,,,,,馬連:570円 ワイド:11-13=280円 09-13=360円 09-11=900円,,,,,,,,,,,,"馬連:47,640円 ワイド:02-13=8,730円 02-04=4,910円 04-13=10,160円",,,,,,,,,,,,"馬連:3,820円 ワイド:03-07=960円 07-08=450円 03-08=420円",,,,,,,,,,,
"馬単:1,170円 3連複:4,020円 3連単:15,200円",,,,,,,,,,,,"馬単:830円 3連複:1,240円 3連単:3,160円",,,,,,,,,,,,"馬単:163,290円 3連複:205,000円 3連単:2,585,600円",,,,,,,,,,,,"馬単:8,460円 3連複:3,090円 3連単:27,590円",,,,,,,,,,,
■ 3R  芝1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 6R  芝1800m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 9R  芝2400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■12R  芝1400m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,くちなし賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｄトキノサコン, 60,江田照,, 60,   1,* -4, 6,  9.0, ⑨⑫, 1,11,Ｈメｰヴェ, 61,三浦皇,, 78,   2,*  9, 5,  7.5,⑥⑦⑨, 1, 8,Ｂノｰステア, 74,三浦皇,, 73,  -2,*  9, 2,  3.3,⑥⑦⑥, 1, 1,Ｇシルクウェッジ, 78,横山典,, 85,* 14,   4, 5,  8.1, ②②
 2,14,Ｊマイネルゴラッソ, 48,柴田大, 0.2, 60,*  9, -17, 7, 12.3, ③③, 2, 3,Ｅプレミアムテｰスト, 66,石橋脩, 0.0, 77,   4,*  8, 2,  3.7,⑩⑩⑥, 2, 4,Ａルイｰザシアタｰ, 77,安藤勝, 0.0, 71,* -1,*  8, 1,  1.9,③④④, 2, 6,Ｆケイアイルｰラｰ, 79,松岡正, 0.3, 83,* 14,   0, 2,  3.9, ③③
 3,15,Ｆエｰシンイグアス, 56,後藤浩, 0.2, 60,* 10, -18, 5,  8.3, ②②, 3, 8,Ｊグレｰトマｰシャル, 57,田中勝, 0.4, 71,   3,   1, 6, 12.7,⑨⑧⑦, 3, 7,Ｃヒｰルゼアハｰツ, 73,横山典, 0.2, 67,* -1,   2, 3,  7.1,②②②, 3, 9,Ｂトウショウフォアゴ, 81,吉田豊, 0.3, 79,   3,* 16, 4,  7.4, ⑭⑭
 4, 3,Ａアップルジャック, 63,北村宏, 0.3, 57,   2,* -9, 3,  6.0, ⑫⑧, 4, 1,Ｃマイネクイｰン, 70,松岡正, 0.6, 70,   5,  -6, 1,  3.3,③③③, 4, 3,Ｄヴェラシティ, 71,北村宏, 0.4, 68,* -1,   2, 4,  8.8,④⑤⑤, 4, 2,Ｃオルトリンデ, 80,北村宏, 0.3, 81,  11,   4, 6,  9.5, ⑤④
 5,13,Ｃユキノアイオロス, 60,横山典, 0.5, 54,   3, -11, 2,  5.6, ⑧⑪, 5, 2,Ａロジハｰツ, 71,後藤浩, 1.1, 63,   3, -10, 3,  4.3,⑦⑥⑧, 5, 5,Ｇスリｰケインズ, 62,江田照, 0.6, 67,  -2,   4, 8,116.5,⑦⑧⑧, 5,13,Ｈマイネルエデン, 76,柴田大, 0.4, 79,  10,   4, 7, 23.2, ⑦⑦
 6,16,Ｋオリファン, 46,田中勝, 0.5, 55,   5, -15,13, 96.8, ⑦⑦, 6,10,Ｂバンスタンウォルツ, 70,横山典, 1.2, 60,*  6, -16, 4,  6.0,②②②, 6, 9,Ｈメジロコウミョウ, 58,吉田豊, 1.2, 58,* -1, -12, 6, 28.4,①①①, 6,10,Ａキングレオポルド, 83,石橋脩, 0.8, 74,   7,   3, 3,  5.2, ⑨⑨
 7, 7,Ｅメイケイダンサｰ, 57,柴田善, 0.6, 55,   6, -18, 8, 14.5, ④④, 7, 9,Ｆプレミアムパス, 64,江田照, 1.3, 60,*  6, -19, 8, 72.3,①①①, 7, 1,Ｆコウヨウレジェンド, 63,田中勝, 1.2, 61,  -2,  -5, 7, 35.7,⑤⑥⑦, 7,11,Ｅロｰレルエルヴェル, 80,小林淳, 0.8, 73,   3,*  9,14,242.2, ⑬⑬
 8,18,Ｈヒカルハナフブキ, 52,横山和, 0.6, 54,   0,*-10,10, 56.2, ⑮⑭, 8, 5,Ｄウォッチバレｰ, 68,柴山雄, 1.5, 60,   1,  -9,10, 87.2,⑪⑪⑪, 8, 6,Ｅカネトシマｰシャル, 69,後藤浩, 1.4, 57,* -1, -13, 5, 12.8,⑨③③, 8, 7,Ｎショウナンスマイル, 69,田中勝, 0.9, 73,   7,   3,11, 77.3, ⑧⑩
 9, 9,Ｉウイニングティアラ, 50,石橋脩, 0.7, 52,   0, -12, 9, 21.8, ⑬⑬, 9, 7,Ｇシンボリシュテルン, 62,北村宏, 1.6, 57,   4, -20, 7, 37.5,⑤⑤④, 9, 2,Ｉドクタｰブリｰズ, 50,柴田善, 1.4, 61,  -3,  -4, 9,209.6,⑧⑨⑨, 9,14,Ｄトｰセンマドロｰナ, 80,後藤浩, 1.0, 73,  13,  -6, 1,  3.4, ④⑤
10, 2,Ｍシュガｰキッス, 44,野元昭, 0.8, 54,* 10, -26,11, 94.0, ①①,10, 4,Ｋマスイルベッロ, 43,嶋田純, 1.7, 58,  -1, -10,11,457.1,⑧⑨⑩,,,,,,,,,,,,,10, 4,Ｊリバイバルシチｰ, 72,大野拓, 1.0, 72,   9,  -1,13,189.7, ⑩⑧
11,17,Ｎアランルｰス, 34,三浦皇, 1.1, 51,   7, -24,12, 94.2, ⑥⑥,11, 6,Ｉトミケンヴァｰスト, 58,大野拓, 1.8, 57,   5, -21, 9, 82.8,④④⑤,,,,,,,,,,,,,11,12,Ｋトムトム, 71,三浦皇, 1.0, 73,   5,   4, 8, 31.1, ⑪⑫
12, 8,Ｂトウショウレガｰロ, 61,武士沢, 1.1, 50,   6, -25, 1,  4.0, ⑤⑤,,,,,,,,,,,,,,,,,,,,,,,,,12, 3,Ｉカレンナサクラ, 73,大庭和, 1.2, 73,* 18, -15, 9, 44.3, ①①
13, 6,Ｇソルトキャスケｰド, 54,松岡正, 1.8, 41,   3, -30, 4,  6.3, ⑩⑨,,,,,,,,,,,,,,,,,,,,,,,,,13, 8,Ｌヒシフラッシｰ, 70,蛯名正, 1.6, 65,   5,  -4,12, 96.1, ⑫⑪
14,10, ワンステップ,---,嶋田純, 1.9, 40,   3, -30,18,369.7, ⑪⑩,,,,,,,,,,,,,,,,,,,,,,,,,14, 5,Ｍヒカルプリンス, 69,柴田善, 2.0, 62,  10, -15,10, 67.2, ⑥⑥
15, 4,Ｌキョウエイアロマ, 44,大庭和, 2.0, 40,  -9, -14,15,145.1, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,12,Ｏオンワｰドガイア, 31,大野拓, 2.1, 38,  -2, -26,17,365.0, ⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17, 5, プレスミｰダ,---,菅原隆, 3.0, 15, -16, -19,16,314.6, ⑰⑰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,11, ウエスタンスパｰト,---,吉田豊, 3.1, 13, -16, -21,14,120.1, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:重(指数:7),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:重(指数:7),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:重(指数:7),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:重(指数:7),,,,,,,,,,,
"単勝:900円 複勝:01=300円 14=420円 15=290円 枠連:1,200円",,,,,,,,,,,,単勝:750円 複勝:11=210円 03=170円 08=340円 枠連:680円,,,,,,,,,,,,単勝:330円 複勝:08=130円 04=110円 07=150円 枠連:260円,,,,,,,,,,,,"単勝:810円 複勝:01=270円 06=170円 09=230円 枠連:1,630円",,,,,,,,,,,
"馬連:5,780円 ワイド:01-14=1,610円 01-15=1,190円 14-15=2,610円",,,,,,,,,,,,"馬連:1,520円 ワイド:03-11=640円 08-11=1,030円 03-08=900円",,,,,,,,,,,,馬連:300円 ワイド:04-08=160円 07-08=360円 04-07=200円,,,,,,,,,,,,"馬連:1,900円 ワイド:01-06=670円 01-09=1,150円 06-09=570円",,,,,,,,,,,
"馬単:11,970円 3連複:26,870円 3連単:139,600円",,,,,,,,,,,,"馬単:3,200円 3連複:5,250円 3連単:26,340円",,,,,,,,,,,,"馬単:730円 3連複:420円 3連単:2,360円",,,,,,,,,,,,"馬単:4,660円 3連複:4,700円 3連単:30,740円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
